gross_perforated_length,number_of_stages,total_proppant,total_fluid,true_vertical_depth,proppant_intensity,frac_fluid_intensity,average_stage_length,frac_fluid_to_proppant_ratio,bin_lateral_length,batch_frac_classification,well_family_relationship,OilPeakRate
3810.03937,12.0,286571.4286,1621423.513,8801.181102,75.21482083,425.5660783,317.5032808,5.65800827,1.0,0,2,10.78571595
3723.425197,11.0,106878.9286,437713.4249,8635.826772,28.70446509,117.5566587,338.4931997,4.095413668,1.0,0,2,123.7976382
4575.787402,10.0,140558.1429,847944.2384,8711.614173,30.7178045,185.3111091,457.5787402,6.03269381,1.0,0,2,123.286527
3338.582677,11.0,130063.1429,686340.1062,8666.338583,38.95759232,205.5782865,303.50751610000003,5.276976176,1.0,0,1,82.86906044
4017.716535,11.0,135363.7857,1016598.657,8605.314961,33.69172129,253.0289652,365.2469578,7.510122829,1.0,0,0,83.51298912
2692.913386,6.0,42563.28571,240916.1682,7895.669290999999,15.80566458,89.46302154,448.8188976,5.660187276,1.0,0,2,75.91667842
3349.409449,10.0,113708.5714,579880.9231,6341.535433,33.94884178,173.1293029,334.9409449,5.099711621,1.0,0,1,89.29723604
3683.070866,10.0,253504.2143,1410213.0990000002,9373.031496,68.82957822,382.8905689,368.3070866000001,5.562878326,1.0,0,2,106.2500164
3626.968504,13.0,278054.5,1557000.336,7619.094488,76.66305889,429.2842175,278.9975772,5.599622866,1.0,0,2,89.94922027
4043.307087,19.0,181272.7857,912004.6411,7201.771654000001,44.83280192,225.5590836,212.8056361,5.031117261,1.0,0,2,70.10675688
4074.80315,11.0,89047.21429,489240.5995,6008.858268,21.85313278,120.0648428,370.43665,5.494170744,1.0,0,0,79.51659394
2418.307087,10.0,107722.1429,274169.2091,10391.73228,44.54444328,113.37237140000002,241.8307087,2.545151831,0.0,0,3,178.63098
3591.535433,10.0,259122.0,1406338.468,9356.299213,72.14797259999999,391.5702612,359.1535433,5.427321753999999,1.0,0,2,119.2381137
1286.417323,10.0,28928.57143,328801.5509,2550.19685,22.48770357,255.5947787,128.64173229999997,11.36597954,0.0,0,2,31.83651286
3166.338583,10.0,55085.28571,307823.4048,6799.212598,17.39715582,97.21746324,316.6338583,5.5881239570000005,1.0,0,2,25.2857182
6249.015748,18.0,199033.5714,361684.4369,7156.496063,31.85038724,57.87862465,347.1675416,1.81720317,1.5,0,2,224.3809871
4158.464567,10.0,68597.78571,439874.5681,8641.732283,16.4959409,105.778121,415.8464567,6.412372695,1.0,0,2,165.8452638
4173.228346,10.0,72472.85714,474736.6568,7847.440945,17.36613747,113.7576517,417.3228346,6.550544238,1.0,0,1,201.4166978
3844.488189,12.0,50571.42857,199239.9832,8078.740156999999,13.15426816,51.82483946,320.3740157,3.939773679,1.0,0,2,92.97620487
5755.905511999999,11.0,237227.5714,174145.4793,7448.818898,41.21463963,30.25509696,523.2641374,0.73408617,1.0,0,1,103.8571589
6338.582677,12.0,321251.5,1685458.082,6357.283465,50.68191366,265.904567,528.2152231000001,5.246537626,1.5,0,1,65.64128000000001
2392.716535,9.0,38357.14286,225534.6301,8076.771654000001,16.03079274,94.25881704,265.8573928,5.879860004,0.0,0,2,34.678576799999995
3708.661417,10.0,258369.6429,1828037.438,9138.779528,69.66654914,492.9103070000001,370.8661417,7.075279501,1.0,0,2,96.78572926
4814.96063,10.0,75755.71429,477642.9073,7765.748031,15.73340264,99.19975343,481.496063,6.3050413,1.0,0,2,43.08334
4141.732282999999,10.0,77504.28571,328284.8841,6214.566929,18.71301195,79.26270016,414.1732283,4.235699757,1.0,0,0,40.10714906
6180.11811,10.0,195331.3571,606981.2011,6004.92126,31.60641167,98.21514577,618.0118110000001,3.10744373,1.5,0,2,103.9762066
3210.629921,10.0,141489.2857,881983.7198,12685.03937,44.06901112,274.7073756,321.06299210000003,6.233572495,1.0,0,2,29.46230615
4294.291339,15.0,104053.2857,642936.409,7733.267717000001,24.23060699,149.7188612,286.2860892,6.178915011,1.0,0,1,50.10715061
4883.858268,18.0,176588.5714,422912.3988,8015.748031,36.15759544,86.59391317,271.32545930000003,2.39490243,1.0,0,2,231.5000358
3284.448819,10.0,136929.0714,779032.7039,12407.48031,41.69012184,237.1882611,328.4448819,5.689315613,1.0,0,2,27.79762335
